ros_timestamp,predicted_score,true_label,traversability_cost,w_slip,w_imu_rp,w_imu_gyro,w_wheel_speed,w_wheel_accel,gt_slip,gt_imu_rp,gt_imu_gyro,gt_wheel_speed,gt_wheel_accel
1770202008.3257,0.8337465524673462,0.8806341290473938,0.4855409860610962,0.19019304,0.2617496,0.20331,0.18164359,0.16310373,0.8130483,0.79871935,0.8939668,0.95243937,0.9449968
1770202008.4273,0.8231162428855896,0.8994520306587219,0.5105603337287903,0.19558884,0.25549757,0.22128321,0.16732024,0.16031004,0.91102004,0.8543751,0.8272422,0.965,0.9396229
1770202008.6449,0.7975153923034668,0.8911303877830505,0.4812008738517761,0.20259269,0.26506978,0.20549196,0.15907,0.16777557,0.91034955,0.81077147,0.79129195,0.9837029,0.9595358
1770202008.9383,0.7776462435722351,0.889599621295929,0.32052844762802124,0.21624923,0.25223863,0.20357789,0.15984815,0.16808604,0.85485655,0.8125097,0.90886414,0.9302074,0.94156057
1770202009.3554,0.7946544885635376,0.8824846148490906,0.24019688367843628,0.20968862,0.24856967,0.20332304,0.17655306,0.1618656,0.9145035,0.82874286,0.7833671,0.9424176,0.9433919
1770202009.5767,0.7796822786331177,0.8823301196098328,0.3950808644294739,0.20697255,0.24605075,0.22000305,0.16938783,0.15758575,0.87721044,0.83098924,0.7873547,0.9783674,0.93772864
1770202009.7122,0.7609024047851562,0.9022508859634399,0.5126118063926697,0.19350915,0.24176048,0.2358308,0.18758212,0.14131746,0.94568723,0.8782218,0.76481,0.95629716,0.96623826
1770202009.8549,0.7905440926551819,0.8842129111289978,0.592955470085144,0.21083187,0.23889367,0.20924969,0.18134491,0.15967984,0.9074195,0.8393498,0.82674503,0.9098966,0.9376536
1770202009.9188,0.7417581081390381,0.9190666079521179,0.6232354640960693,0.1998075,0.22009414,0.23651521,0.17650637,0.16707687,0.8836536,0.94691724,0.8511929,0.9811354,0.9324336
1770202010.0416,0.7814271450042725,0.8842129111289978,0.6389861106872559,0.1959098,0.23198943,0.23523495,0.18519203,0.15167376,0.9074195,0.8393498,0.82674503,0.9098966,0.9376536
1770202010.2742,0.8012820482254028,0.9217155575752258,0.5712855458259583,0.19351366,0.23104823,0.23934813,0.18673958,0.14935046,0.9028599,0.8307479,0.9606819,0.9813788,0.9329094
1770202010.6180,0.7864561080932617,0.9014150500297546,1.0,0.19887991,0.23572259,0.22471155,0.18666962,0.15401633,0.9182613,0.8072031,0.85222244,0.9848237,0.9445646
1770202010.8342,0.7822218537330627,0.8680574297904968,1.0,0.19452566,0.23282982,0.25584677,0.17365916,0.14313857,0.91564053,0.7915046,0.82609874,0.8628792,0.9441642
1770202010.9357,0.7780309319496155,0.8933401107788086,0.7626981139183044,0.1889323,0.22884391,0.24324524,0.18362069,0.15535788,0.8714574,0.84399176,0.8215381,0.991871,0.9378422
1770202011.1889,0.7866899371147156,0.8927704691886902,0.23425684869289398,0.18788004,0.21603695,0.24202389,0.18820688,0.16585231,0.89277047,0.89277047,0.89277047,0.89277047,0.89277047
1770202011.3393,0.7527727484703064,0.8927704691886902,0.4841140806674957,0.1908518,0.21524076,0.24659644,0.18532357,0.16198744,0.89277047,0.89277047,0.89277047,0.89277047,0.89277047
1770202011.7670,0.7723031044006348,0.9339025616645813,1.0,0.19210942,0.22162512,0.22791338,0.19354336,0.16480874,0.9532832,0.97543824,0.9325715,0.83689386,0.97132605
